canonical_id,name,uberon,fma,ta2,system,laterality,scope
HRA:Allen_reuniens_nucleus_medioventral_nucleus_of_thalamus_R|right,reuniens nucleus medioventral nucleus of thalamus (right),,,,nervous,right,direct-source-geometry
HRA:Allen_lateral_posterior_nucleus_of_thalamus_R|right,lateral posterior nucleus of thalamus (right),,,,nervous,right,direct-source-geometry
HRA:Allen_pulvinar_of_thalamus_R|right,pulvinar of thalamus (right),,,,nervous,right,direct-source-geometry
HRA:Allen_ventral_anterior_nucleus_of_thalamus_R|right,ventral anterior nucleus of thalamus (right),,,,nervous,right,direct-source-geometry
HRA:Allen_ventral_lateral_nucleus_of_thalamus_R|right,ventral lateral nucleus of thalamus (right),,,,nervous,right,direct-source-geometry
HRA:Allen_ventral_posterior_lateral_nucleus_R|right,ventral posterior lateral nucleus (right),,,,nervous,right,direct-source-geometry
HRA:Allen_ventral_posterior_medial_nucleus_R|right,ventral posterior medial nucleus (right),,,,nervous,right,direct-source-geometry
HRA:Allen_dorsal_lateral_geniculate_nucleus_R|right,dorsal lateral geniculate nucleus (right),,,,nervous,right,direct-source-geometry
HRA:Allen_medial_geniculate_nuclei_R|right,medial geniculate nuclei (right),,,,nervous,right,direct-source-geometry
HRA:Allen_centromedian_nucleus_of_thalamus_R|right,centromedian nucleus of thalamus (right),,,,nervous,right,direct-source-geometry
HRA:Allen_parafascicular_nucleus_of_thalamus_R|right,parafascicular nucleus of thalamus (right),,,,nervous,right,direct-source-geometry
HRA:Allen_habenular_nuclei_R|right,habenular nuclei (right),,,,nervous,right,direct-source-geometry
HRA:Allen_zona_incerta_R|right,zona incerta (right),,,,nervous,right,direct-source-geometry
HRA:Allen_supraoptic_region_of_HTH_R|right,supraoptic region of HTH (right),,,,sensory,right,direct-source-geometry
HRA:Allen_white_matter_of_forebrain_R|right,white matter of forebrain (right),,,,nervous,right,direct-source-geometry
HRA:Allen_mammillothalamic_tract_R|right,mammillothalamic tract (right),,,,nervous,right,direct-source-geometry
HRA:Allen_anterior_horn_of_lateral_ventricle_R|right,anterior horn of lateral ventricle (right),,,,nervous,right,direct-source-geometry
HRA:Allen_body_of_lateral_ventricle_R|right,body of lateral ventricle (right),,,,nervous,right,direct-source-geometry
HRA:Allen_posterior_horn_of_lateral_ventricle_R|right,posterior horn of lateral ventricle (right),,,,nervous,right,direct-source-geometry
HRA:Allen_inferior_horn_of_lateral_ventricle_R|right,inferior horn of lateral ventricle (right),,,,nervous,right,direct-source-geometry
HRA:Allen_third_ventricle_R|right,third ventricle (right),,,,nervous,right,direct-source-geometry
HRA:Allen_cerebellar_vermis_R|right,cerebellar vermis (right),,,,nervous,right,direct-source-geometry
HRA:Allen_cerebellar_deep_nuclei_R|right,cerebellar deep nuclei (right),,,,nervous,right,direct-source-geometry
HRA:Allen_white_matter_of_hindbrain_R|right,white matter of hindbrain (right),,,,nervous,right,direct-source-geometry
HRA:Allen_olfactory_tract_R|right,olfactory tract (right),,,,nervous,right,direct-source-geometry
HRA:Allen_supraparietal_lobule_R|right,supraparietal lobule (right),,,,nervous,right,direct-source-geometry
HRA:Allen_supramarginal_gyrus_R|right,supramarginal gyrus (right),,,,nervous,right,direct-source-geometry
HRA:Allen_angular_gyrus_R|right,angular gyrus (right),,,,nervous,right,direct-source-geometry
HRA:Allen_paracentral_lobule_caudal_part_R|right,paracentral lobule caudal part (right),,,,nervous,right,direct-source-geometry
HRA:Allen_occipitotemporal_fusiform_gyrus_temporal_part_R|right,occipitotemporal fusiform gyrus temporal part (right),,,,nervous,right,direct-source-geometry
HRA:Allen_transverse_temporal_gyrus_Heschls_gyrus_R|right,transverse temporal gyrus Heschls gyrus (right),,,,nervous,right,direct-source-geometry
HRA:Allen_gyrus_ambiens_R|right,gyrus ambiens (right),,,,nervous,right,direct-source-geometry
HRA:Allen_head_of_hippocampus_R|right,head of hippocampus (right),,,,nervous,right,direct-source-geometry
